Player,Tm,PER,BPM,VORP,WS,Team Mar,Year
Reggie Theus,CHI,13.3,-1.8,0.2,3.2,-3.55,1979
Dan Issel,DEN,18.3,2.5,3.2,9.8,1.14,1979
Phil Ford,KCK,15.8,-0.2,1.2,5.7,2.41,1979
Dennis Johnson,SEA,15.0,1.2,2.2,6.6,2.51,1979
Austin Carr,CLE,15.4,-0.5,1.0,5.0,-3.38,1979
Rich Kelley,NOJ,19.9,4.2,4.2,8.6,-5.42,1979
Jim McElroy,NOJ,16.2,-0.5,1.0,4.9,-5.42,1979
Alex English,IND,17.6,2.5,3.1,7.0,-1.31,1979
David Thompson,DEN,19.9,1.0,2.0,9.5,1.14,1979
Toby Knight,NYK,15.3,-0.6,0.9,5.7,-3.04,1979
Nick Weatherspoon,SDC,12.7,-1.1,0.6,3.7,-1.64,1979
Rudy Tomjanovich,HOU,16.4,0.0,1.3,6.2,0.92,1979
Paul Westphal,PHO,22.6,1.3,2.2,10.4,3.09,1979
Bob Dandridge,WSB,19.0,2.9,3.3,8.7,4.38,1979
Chris Ford,BOS,14.3,-0.4,1.0,3.6,-4.45,1979
Sam Lacey,KCK,15.3,4.1,4.0,6.5,2.41,1979
Charlie Scott,DEN,9.8,-2.8,-0.5,1.9,1.14,1979
Mickey Johnson,CHI,15.5,1.0,2.0,3.7,-3.55,1979
Brian Winters,MIL,15.6,-1.4,0.4,4.2,1.87,1979
Rick Barry,HOU,14.7,-0.3,1.1,4.2,0.92,1979
Terry Tyler,DET,15.5,0.7,1.8,5.4,-2.38,1979
